role,method,dataset,domain,windows,series,mse,mae,rmse,mase,rmsse,smape,wape_numerator,wape_denominator,wape,patchtst_mse,relative_mse_reduction
confirmation,pir_adapter,m4_weekly,competition_weekly,192,24,2.49348886965544,0.7156163209474705,0.8403089166399883,3.9403775182615473,3.375477186992885,0.06897344693399345,721069.0781271177,1.4279037e+07,0.05049843894424517,2.6003773882075536,0.041105002311142336
confirmation,pir_adapter,nn5,banking,192,24,0.8188743455449096,0.6691021172863484,0.8874518052468345,1.1055924129352093,1.038417029809747,0.29238959809686055,50973.49125602198,198289.8,0.25706562848594366,0.830744318037187,0.014288358324644035
confirmation,pir_adapter,pedestrian,transport,192,24,0.30630693201386194,0.41297320928747977,0.5060301157815426,3.1965383071589386,2.478340543874288,0.9148448947541393,822866.6257530659,1.918964e+06,0.42880774509217784,0.26949376454565516,-0.13660118455902248
confirmation,pir_adapter,rideshare,mobility,192,24,2.7398141170212025,1.5853462992293619,1.6218538130539863,1434065.0962422274,213.85985605247717,1.2985161804795664,16103.437948582136,20529.19,0.7844166466168412,2.7234766475307595,-0.005998755122521571
confirmation,pir_adapter,temperature_rain,climate,192,24,4.703157196166267,1.120003106553203,1.596961369834487,1.3132599919619443,0.9933870974248348,1.4710417068016388,40668.06944621639,41609.645,0.9773712297799981,4.469381644411449,-0.05230601688426706
confirmation,pir_adapter,tourism_monthly,tourism,192,24,13.002471787252523,2.413207383081398,2.862430282620519,1.6926847221450914,1.583242190138523,0.315165802670664,25780062.313003503,1.5730925e+08,0.16388141600551992,13.826759269397877,0.05961537812911166
confirmation,raft_adapter,bitcoin,economic,144,18,3824.4870255896144,20.262681022692465,25.400617586304683,174.07200964640862,4.834760899716915,0.2702641707301191,2.684129083309477e+21,2.944461e+22,0.09115858552696318,9390.32478097645,0.5927204740205028
confirmation,raft_adapter,fred_md,macroeconomic,192,24,21.72679433683136,0.9406424639208933,1.0879476228729736,0.9464173337108215,0.933604856530418,0.13823713296892334,18474312.173372366,2.5137315e+08,0.07349357728295648,40.255214690246945,0.46027379299767246
confirmation,raft_adapter,kdd_air,air_quality,192,24,2.6177181484194114,0.7874969687320951,0.9220718496615853,299493.72188748565,39.50837737378153,0.6596416053576644,168060.4672646114,237219.4,0.7084600282975854,1.1057381086564229,-1.3673943476545167
confirmation,raft_adapter,m4_hourly,competition_hourly,192,24,0.36996145915528333,0.3739393167833087,0.4525916116266342,1.9171766567723774,1.7534205727191443,0.14802052887870573,4791032.324704181,7.485511e+07,0.06400407663145546,0.5009415711731597,0.2614678428686461
confirmation,raft_adapter,m4_weekly,competition_weekly,192,24,1.8895040837781307,0.6519173690455248,0.7726297559056622,3.7666962740426437,3.2336953424936996,0.06833676296248206,673135.2599922279,1.4279037e+07,0.04714150260919051,2.6003773882075536,0.27337312947465275
